time_s,active_groups,satellite_groups,detached_count,dispersing_groups,live_bacteria,predator_hits,pair_formations
0.57026,6,0,0,0,96,0,0
1.11078,6,0,0,0,102,0,0
1.6549,6,0,0,0,102,0,0
2.16671,6,0,0,0,102,0,0
2.68176,6,0,0,0,102,0,0
3.20208,6,0,0,0,102,0,0
3.73585,6,0,0,0,102,0,0
4.26906,6,0,0,0,108,0,0
4.80368,6,0,0,0,108,0,0
5.33671,6,0,0,0,108,0,0
5.86847,6,0,0,0,108,0,0
6.40289,6,0,0,0,108,0,0
6.93553,6,0,0,0,108,0,0
7.47507,6,0,0,0,114,0,0
8.00884,6,0,0,1,114,1,0
8.54521,5,0,0,0,114,3,0
9.07816,5,0,0,0,114,3,0
9.61183,5,0,0,0,114,3,0
10.1463,5,0,0,0,119,3,0
10.6771,5,0,1,1,119,4,0
11.2112,5,0,1,1,119,4,0
11.7454,5,0,1,1,119,4,0
12.2679,5,0,1,1,119,4,0
12.7968,5,0,1,1,119,4,0
13.3246,5,0,1,1,123,4,0
13.8574,5,0,1,1,123,4,0
14.3897,5,0,1,1,123,4,0
14.9242,5,0,1,1,123,4,0
15.4568,5,0,1,1,123,4,0
15.9912,5,0,2,1,123,6,0
16.5241,5,0,1,1,127,6,0
17.0634,5,0,2,1,127,7,0
17.6074,5,0,1,1,127,8,0
18.1521,5,0,1,1,127,8,0
18.6894,5,0,1,1,127,8,0
19.231,5,0,1,1,131,8,0
19.7904,5,0,2,1,131,10,0
20.3353,5,0,1,1,131,13,0
20.8749,5,0,1,1,131,13,0
21.4178,5,0,1,1,131,13,0
21.9662,5,0,1,1,131,13,0
22.5114,5,0,1,1,135,13,0
23.0629,5,0,3,1,135,17,1
23.6166,5,0,3,1,135,17,1
24.1614,5,0,3,1,135,17,1
24.7074,5,0,3,1,135,17,1
25.2555,5,0,3,1,138,18,1
25.8137,5,0,3,1,138,18,1
26.3609,5,0,3,1,138,18,1
26.9204,5,0,3,1,138,18,1
27.4792,5,0,3,1,138,18,1
28.0224,5,0,3,1,138,18,1
28.5727,5,0,3,1,142,18,1
29.1362,5,0,3,1,142,18,1
29.6895,5,0,3,1,142,18,1
30.2493,4,0,4,1,142,19,1
30.8119,4,0,4,1,142,19,1
31.3723,4,0,4,1,145,19,1
31.9286,4,0,4,1,145,20,1
32.4927,3,0,4,0,145,20,1
33.0532,3,0,4,0,145,20,1
33.6121,3,0,4,0,145,20,1
34.1728,3,0,4,0,145,20,1
34.7264,3,0,3,1,147,21,1
35.298,3,0,3,1,147,21,1
35.8575,3,0,3,1,147,21,1
36.4159,3,0,3,1,147,21,1
36.9739,3,0,3,1,147,21,1
37.5379,3,0,3,1,149,22,1
38.1046,3,0,3,1,149,22,1
38.6669,3,0,3,1,149,22,1
39.2318,3,0,3,1,149,22,1
39.7886,3,0,3,1,149,22,1
40.3501,3,1,61,1,150,22,30
40.9029,3,1,71,1,150,22,33
41.4578,4,2,75,1,150,22,34
42.0228,3,1,76,1,150,22,34
42.5793,3,1,78,0,150,22,34
43.1347,3,1,79,0,151,22,36
43.698,3,1,79,0,153,22,36
44.2634,3,1,84,0,153,22,37
44.8298,3,1,88,0,153,22,37
45.4007,4,2,90,0,153,22,38
45.9682,3,1,90,0,153,22,39
46.5306,3,1,90,0,156,22,39
47.039,3,1,95,1,156,24,39
47.6029,3,1,95,1,156,24,41
48.1716,7,5,96,1,156,24,58
48.673,5,3,97,1,156,24,61
49.1781,4,2,98,1,156,24,66
49.6842,4,2,98,1,157,24,68
50.2196,4,2,101,1,157,24,69
50.726,4,2,101,1,157,24,70
51.2295,5,3,102,1,158,25,74
51.7393,6,4,102,1,158,25,77
52.2446,5,3,104,1,158,25,79
52.8191,4,2,106,2,159,26,80
53.3229,4,2,108,2,159,26,81
53.8259,4,2,108,2,159,27,81
54.3331,4,2,108,2,160,28,82
54.8338,4,2,108,2,160,29,82
55.341,5,3,108,2,160,29,83
55.8515,6,4,108,2,161,30,85
56.3583,5,3,110,2,161,31,102
56.8703,8,6,110,2,161,31,106
57.3845,7,5,110,2,161,32,112
57.8915,4,2,110,2,161,32,114
58.3996,4,2,111,2,161,32,117
58.9077,4,2,111,2,161,34,118
59.4167,4,2,116,2,162,34,121
59.9234,4,2,116,1,162,35,122
60.4332,4,2,116,1,162,35,123
60.9396,5,3,116,1,162,35,126
61.4504,5,3,117,1,161,37,127
61.9527,5,3,117,1,163,37,127
62.4663,5,3,121,1,164,37,128
62.9748,6,4,122,1,164,37,129
63.4877,6,4,122,1,164,37,130
63.9958,8,6,123,1,165,37,134
64.5061,5,3,124,1,165,37,146
65.0203,6,4,124,1,167,37,150
65.5338,6,4,129,1,169,37,162
66.0583,7,5,129,1,169,37,166
66.5757,7,5,129,0,169,37,170
67.0767,6,4,100,0,140,37,172
67.6215,6,4,83,0,123,37,172
68.1537,5,3,78,0,118,37,173
68.6806,5,3,79,0,118,37,174
69.2065,6,4,74,0,115,37,176
69.7326,6,4,72,0,112,37,176
70.2664,6,4,72,0,111,37,176
70.7989,6,4,69,0,110,37,176
71.3198,6,4,70,0,109,37,178
71.85,6,4,67,0,106,37,179
72.3751,7,5,66,1,107,42,183
72.8909,6,4,63,1,105,47,185
73.4162,6,4,62,1,104,47,186
73.946,5,3,60,1,103,47,187
74.4517,5,3,63,1,103,47,188
74.9629,5,3,63,1,104,47,189
75.4893,5,3,62,1,103,47,190
76.0077,5,3,62,1,103,48,192
76.5163,5,3,62,1,102,48,192
77.0325,5,3,59,1,100,48,193
77.5563,6,4,57,1,101,48,195
78.0853,5,3,57,1,103,49,195
78.6089,5,3,56,1,101,49,195
79.1163,5,3,55,1,101,49,196
79.6363,5,3,53,1,99,49,197
80.1528,5,3,53,1,100,49,199
80.686,5,3,52,1,97,49,201
81.2189,5,3,50,1,98,50,202
81.7519,6,4,50,1,97,50,203
82.2617,5,3,50,1,95,50,205
82.774,5,3,47,1,93,50,205
83.278,5,3,48,1,94,51,205
83.7785,6,4,48,1,94,51,208
84.2856,5,3,48,1,95,51,209
84.7898,5,3,47,1,94,51,209
85.298,4,2,46,1,93,51,211
85.8123,4,2,46,1,93,52,211
86.3734,4,2,47,1,94,52,211
86.8948,4,2,47,1,95,53,212
87.3984,4,2,46,1,94,53,212
87.9177,4,2,44,1,92,53,213
88.4204,5,3,45,1,92,55,215
88.9248,4,2,44,1,92,56,216
89.4268,4,2,42,1,90,56,217
89.929,4,2,44,1,91,56,219
90.491,4,2,43,1,90,57,220
91.052,4,2,41,1,87,57,221
91.6049,4,2,40,1,86,57,221
92.1059,5,3,38,1,85,57,223
92.6652,5,3,36,1,83,58,223
93.2174,5,3,36,1,84,59,223
93.7691,5,3,36,1,84,59,223
94.3157,5,3,35,1,83,59,223
94.8683,5,3,36,1,81,60,225
95.4205,5,3,35,1,83,60,225
95.9746,4,2,33,1,82,60,225
96.5353,4,2,33,1,83,61,226
97.09,4,2,32,1,82,61,226
97.6366,5,3,32,1,82,61,228
98.1868,5,3,32,1,82,62,228
98.7404,5,3,33,1,83,62,229
99.2936,5,3,33,1,84,62,230
99.8455,5,3,32,1,83,62,230
100.4,5,3,31,1,83,62,233
100.952,5,3,30,1,82,63,233
101.499,5,3,31,1,83,63,233
102.052,5,3,33,1,85,64,233
102.609,6,4,34,1,85,64,235
103.168,5,3,34,1,85,65,235
103.719,5,3,32,1,84,65,236
104.274,5,3,32,1,84,65,237
104.832,5,3,33,1,85,65,238
105.383,5,3,32,1,84,66,239
105.937,5,3,32,1,84,66,241
106.489,5,3,33,1,85,66,241
107.041,5,3,33,1,86,66,242
107.595,5,3,34,1,86,66,243
108.152,5,3,35,1,87,66,243
108.716,5,3,35,1,87,66,243
109.271,5,3,34,1,86,66,243
109.773,5,3,34,1,87,66,243
110.278,5,3,34,0,89,66,245
110.84,4,2,34,0,89,66,245
111.4,5,3,34,0,89,66,247
111.902,5,3,36,0,88,66,248
112.458,4,2,36,0,87,66,250
112.963,4,2,37,0,87,66,250
113.518,5,3,37,0,89,66,251
114.078,5,3,40,0,90,66,253
114.632,5,3,39,0,89,66,253
115.19,5,3,41,0,89,66,254
115.744,5,3,41,0,89,66,255
116.307,7,5,41,0,91,66,258
116.866,5,3,40,0,90,66,259
117.427,5,3,39,0,90,66,260
117.935,5,3,39,1,90,68,260
118.439,5,3,41,1,90,68,261
119.002,5,3,41,1,90,68,261
119.561,5,3,41,1,92,70,262
120.062,5,3,41,1,92,70,264
120.569,5,3,42,1,92,70,266
121.074,5,3,42,1,91,71,267
121.633,5,3,40,1,89,72,267
122.135,5,3,40,1,88,72,269
122.69,5,3,38,1,89,72,269
123.202,5,3,39,1,90,72,271
123.759,5,3,40,1,91,72,272
124.269,5,3,42,1,91,72,274
124.782,5,3,43,1,91,72,276
125.285,6,4,43,1,93,72,278
125.801,6,4,42,1,93,72,279
126.358,6,4,44,0,95,72,280
126.872,6,4,45,0,95,72,280
127.381,6,4,46,0,95,72,280
127.888,6,4,46,0,95,72,280
128.399,7,5,45,0,98,72,283
128.91,8,6,45,0,99,72,285
129.419,7,5,46,0,100,72,287
129.929,6,4,46,0,100,72,287
130.491,5,3,44,0,97,72,287
131.051,5,3,43,0,97,72,287
131.562,5,3,41,0,97,72,287
132.081,5,3,42,0,98,72,288
132.591,5,3,42,0,99,72,292
133.102,5,3,42,0,98,72,294
133.635,5,3,43,0,98,72,294
134.168,5,3,43,0,98,72,294
134.702,5,3,41,0,99,72,295
135.236,5,3,43,0,100,72,295
135.769,5,3,44,1,100,73,296
136.301,6,4,44,1,100,74,298
136.812,5,3,44,1,100,74,299
137.318,4,2,44,1,101,74,303
137.826,5,3,45,1,102,75,304
138.349,5,3,46,1,103,75,305
138.871,6,4,45,1,102,75,306
139.383,5,3,44,1,100,75,306
139.889,5,3,44,1,100,75,307
140.407,5,3,45,1,102,75,309
140.932,5,3,45,1,102,75,312
141.44,5,3,46,1,103,75,312
141.952,5,3,44,1,101,75,313
142.469,5,3,45,1,101,75,313
142.995,5,3,44,0,100,75,313
143.503,5,3,44,0,103,75,313
144.016,6,4,45,0,103,75,314
144.536,5,3,44,0,103,75,316
145.055,5,3,45,0,102,75,317
145.564,5,3,42,0,100,75,319
146.079,7,5,42,1,100,79,322
146.606,5,3,43,1,103,82,322
147.12,6,4,42,1,101,85,323
147.628,5,3,41,1,100,86,324
148.156,5,3,41,1,99,86,325
148.668,5,3,41,1,99,86,326
149.171,5,3,41,1,99,86,327
149.684,5,3,41,1,102,87,327
150.201,5,3,41,1,100,89,328
150.716,5,3,42,1,101,92,328
151.222,5,3,42,1,100,93,329
151.73,4,2,41,1,99,94,329
152.235,4,2,41,1,99,95,329
152.742,4,2,40,1,100,95,329
153.249,4,2,41,1,100,95,329
153.755,5,3,42,1,101,95,331
154.259,5,3,42,1,100,95,331
154.766,5,3,40,2,98,98,331
155.266,5,3,40,2,97,99,332
